Image,ID,StemL,StemW,BladeL,MaxL,Cache,ClassO,ClassO2,StemCZ
AZESC02S,0,37,32,59,96,Other,L,L,6.993373034
AZLEH09S,1,23,29,64,87,Other,L,L,5.317395778
AZLEH13S,2,37,26,60,97,Other,M,M,6.450819171
AZLEH15W,3,27,24,35,62,Other,M,M,5.441384615
AZLEH16W,4,22,21,34,56,Other,M,M,4.411670755
AZLEH17W,5,20,24,32,52,Other,M,M,4.549579865
AZLEH19W,6,17,13,20,37,Other,S,S,3.117898918
AZLEH20W,7,12,15,19.01,31.01,Other,S,S,2.87316844
AZLEH21W,8,14,18,32.32,46.32,Other,S,S,3.505172796
AZLEH4W,9,30,20,53,83,Other,M,M,5.241610609
AZLEH7W,10,33,22,41,74,Other,M,M,5.635347216
AZLEK1S,11,46,30,49,95,Other,L,L,7.583255439
AZMS11W,12,31,28,44,75,Other,L,L,5.958020649
AZMS12W,13,21,14,22,43,Other,S,S,3.846272995
AZMS14W,14,19,22,31,50,Other,M,M,4.085460659
AZNA13W,16,34,25,51,85,Other,M,M,6.017825133
AZNA6W,17,24,15,48,72,Other,S,S,4.376302298
AZNAC01S,18,28,31,48,76,Other,L,L,6.066573701
AZNAC03S,19,27,22,31,58,Other,M,M,4.885325449
AZNAC06S,20,27,27,70,97,Other,L,L,5.594765259
AZNAC07S,21,38,27,65,103,Other,L,L,6.490964299
AZSHK01S,22,17,15,29,46,Other,S,S,3.511117962
CODEN01S,23,40,27,76,116,Other,L,L,6.688864673
CODEN02W,24,32,27,65,97,Other,L,L,6.437597781
CODEN03W,25,33,28,56.58,89.58,Other,L,L,6.456629746
MOKM1W,42,28,21,74,102,Other,M,M,4.911477692
NMBWD03S,48,12,16,44,56,Other,S,S,3.041469045
NMBWD07S,49,14,18,25,39,Other,S,S,3.246188821
NMBWD08S,50,7,20,32,39,Other,M,BWM,3.298326912
NMBWD09S,51,5,15,24,29,Other,S,BWM,2.487701979
NMBWD10W,52,13,25,32,59,Other,M,M,3.321192901
NMBWD11S,53,4,13,23,27,Other,S,BWM,2.208834999
NMBWD12W,54,33,30,80,113,Other,L,L,6.727893795
NMBWD13S,55,26,24,55,81,Other,M,M,5.094393533
NMBWD14S,56,11,17,31,42,Other,S,S,3.208153141
NMBWD15S,57,45,27,66,111,Other,L,L,7.049547207
NMBWD1W,58,25,21,80,105,Other,M,M,4.741315921
NMBWD24S,59,30,33,53,83,Other,L,L,6.746757352
NMBWD25S,60,35,32,76,111,Other,L,L,7.064734614
NMBWD26S,61,13,22,27,40,Other,M,M,3.899469214
NMBWD29S,62,23,18,34,57,Other,S,S,4.445276154
NMBWD2W,63,17,16,33.5,50.5,Other,S,S,3.570434909
NMBWD4W,64,14,22,34,48,Other,M,M,4.156430056
NMBWD5W,65,11,11,27,38,Other,S,BWM,2.324459738
NMBWD8W,66,15,21,30,45,Other,M,M,3.941137343
NMBWD9W,67,12,18,31.5,43.5,Other,S,S,3.71467248
OKDB2W,68,25,18,42,67,Other,S,S,4.283053141
OKDB3W,69,33,21,49,82,Other,M,M,5.638028332
OKJBF02S,70,22,23,35,57,Other,M,M,4.762325525
OKJBF03S,71,15,15,27,42,Other,S,S,3.138600317
ORDTZ1S,72,28,23,57,85,Other,M,M,5.58676077
ORDT2W,73,24,21,37.11,61.11,Other,M,M,4.752933753
ORDZ4W,74,13,26,22,35,Other,M,M,4.255462402
SDLF1W,75,16,17,20,36,Other,S,S,3.620213539
SDLGF2S,76,14,18,40,54,Other,S,S,3.232330866
TXGLT10W,77,32,21,28.82,60.82,Other,M,M,5.27268769
TXGLT11W,78,22,17,34.67,56.67,Other,S,S,3.96821701
TXGLT13W,79,19,21,37.48,56.48,Other,M,M,4.161002446
TXGLT1S,80,41,27,53,94,Other,L,L,7.088498416
TXGLT2S,81,27,23,55,82,Other,M,M,5.097414573
TXGLT3S,82,29,28,72,101,Other,L,L,5.902436727
TXGLT4W,83,25,14,38.51,63.51,Other,S,S,4.250752718
TXGLT5W,84,31,24,40.39,71.39,Other,M,M,5.59286915
TXGLT7W,85,26,14,46.88,72.88,Other,S,S,4.258138177
TXGLT9W,86,35,22,63.5,98.5,Other,M,M,6.097495737
TXMIA1S,87,31,22,84,115,Other,M,M,5.573674343
TXMIA2S,88,28,25,88,116,Other,M,M,5.525798261
WYCB1W,93,26,16,34,60,Other,S,S,4.871867323
WYCBY02S,94,41,36,56,97,Other,L,CBY,7.234190215
WYCBY03S,95,20,26,45,65,Other,M,M,5.235930126
WYCKM01S,96,24,24,68,92,Other,M,M,5.219374556
WYCSP01S,97,27,25,48,75,Other,M,M,5.365669695
WYHEL01S,98,25,30,88,113,Other,L,L,6.319096145
WYHEL02S,99,20,32,67,87,Other,L,L,6.086999423
WYSH1W,100,21,20,46,67,Other,M,M,4.360232516
